iter	F1	Logloss
114	0.7416657054	0.5002725676
115	0.7418043201	0.4999231741
116	0.741317556	0.4995786732
117	0.7408644398	0.4995606473
118	0.7428126955	0.4990039246
119	0.743022045	0.4985620177
120	0.7446899429	0.4978324871
121	0.7461456445	0.4973161702
122	0.7454553346	0.4968920178
123	0.7456653639	0.4965042613
124	0.7487837969	0.4961313673
125	0.7494430801	0.4957490557
126	0.7511287495	0.4950405006
127	0.7520223548	0.4949956116
128	0.7508124684	0.494602947
129	0.7510232929	0.4943958292
130	0.7509979394	0.4939856356
131	0.75278545	0.4936124988
132	0.7523390522	0.4929843824
133	0.75278545	0.4926758522
134	0.7525503321	0.4923923504
135	0.7519979349	0.4921713806
136	0.7524446773	0.4921324224
137	0.7519979349	0.4916091568
138	0.7535716182	0.4907734873
139	0.7556687684	0.4901682081
140	0.756112987	0.4896977095
141	0.7560071352	0.4895612471
142	0.7567887021	0.4891561487
143	0.7565770493	0.4888777446
144	0.7567028907	0.4884263261
145	0.7581361143	0.4879733897
146	0.7578187443	0.4878225858
147	0.7596898784	0.4875538319
148	0.7607987937	0.4871548049
149	0.7623285495	0.4866849108
150	0.7614502408	0.4861128065
151	0.7628732876	0.4860057206
152	0.7615562212	0.485664502
153	0.761662231	0.4852438594
154	0.7614658301	0.4844108937
155	0.7621165832	0.4841781817
156	0.7625552238	0.4840407488
157	0.7634039841	0.4832119458
158	0.7647186013	0.4828065167
159	0.7647186013	0.4828065023
160	0.7645060945	0.4821824673
161	0.7645060945	0.4821696661
162	0.7658061784	0.4816141468
163	0.7656052537	0.4815961527
164	0.7660418179	0.4815334526
165	0.7665734724	0.4814699155
166	0.765817781	0.4812032446
167	0.7664670824	0.4805334987
168	0.7671162848	0.4801730377
169	0.7670098424	0.4800714466
170	0.7666906925	0.4794906092
171	0.7664670824	0.4792200692
172	0.766360722	0.4787760823
173	0.7664780734	0.4786003603
174	0.7672433486	0.4782065523
175	0.7676786572	0.4779110999
176	0.7682106208	0.4773358252
177	0.7684236127	0.4771039384
178	0.7694002109	0.476877197
179	0.7707029952	0.4763331426
180	0.7711299025	0.4759127814
181	0.7707029952	0.4758216866
182	0.7727508905	0.475278158
183	0.7737233606	0.4751294888
184	0.774262712	0.4748765573
185	0.773941644	0.4741482523
186	0.7738346804	0.4741203122
187	0.7750193444	0.4735014628
188	0.7754507305	0.4730491979
189	0.7744806096	0.4723423737
190	0.7743735945	0.4720107529
191	0.7750193444	0.4718230033
192	0.7750193444	0.4715514784
193	0.777063345	0.4707277609
194	0.777063345	0.4705975687
195	0.7777095615	0.4702465486
196	0.7781395401	0.4695526617
197	0.7794268883	0.4688837831
198	0.7806055987	0.4687610052
199	0.781783628	0.4682760125
200	0.7807130718	0.4678174069
201	0.7807130718	0.467817396
202	0.7807130718	0.4677695365
203	0.7797500681	0.4677119708
204	0.7812508818	0.4673520162
205	0.7818912322	0.4668556762
206	0.7837064785	0.4665253031
207	0.7823185636	0.4658190849
208	0.7821065296	0.4652543191
209	0.781783628	0.4652317736
210	0.7816760533	0.4652105649
211	0.7819957766	0.4649705221
212	0.7821001615	0.4646875659
213	0.7829570228	0.4642930204
214	0.7837018573	0.4640342392
215	0.7848762691	0.4635469232
216	0.7835987609	0.4632489009
217	0.7845584905	0.4628239344
218	0.7863668098	0.4622978175
219	0.7865826413	0.4620863094
220	0.785301509	0.4613612265
221	0.7857264515	0.4613507022
222	0.7864747108	0.4610839863
223	0.7873232336	0.4609716418
224	0.7879546351	0.4603228829
225	0.7869994968	0.4595608986
226	0.7874232522	0.4590905283
227	0.788062588	0.4587480391
228	0.7883866244	0.4583079112
229	0.7890167243	0.4578777744
230	0.7876472368	0.4575713379
231	0.7878633871	0.4573075645
232	0.7883954455	0.4570080788
233	0.7882873055	0.4569900764
234	0.7879630634	0.4566808196
235	0.7896555332	0.4564435311
236	0.7896555332	0.4564152958
237	0.7898718266	0.4559671595
238	0.790510698	0.4557246241
239	0.7908355986	0.4552832874
240	0.7903153113	0.4548234123
241	0.7920050403	0.4544663504
242	0.7921135289	0.4539220224
243	0.7926437818	0.4535074405
244	0.7928481359	0.4531442185
245	0.7925227293	0.4525339103
246	0.7926311685	0.4524778772
247	0.794748045	0.4518446511
248	0.7955876979	0.4513265968
249	0.7955724834	0.4509617
250	0.7951531733	0.4505366403
251	0.7954790222	0.4502835457
252	0.7952767036	0.4502515176
253	0.7951680177	0.4499964822
254	0.7956029396	0.4497404924
255	0.7966598804	0.4492546386
256	0.796240376	0.4490162303
257	0.7963651989	0.4486198108
258	0.7965671168	0.4480803149
259	0.7965671168	0.4480803029
260	0.7980430196	0.4474427575
261	0.7972969674	0.4470792288
262	0.799207654	0.4462802898
263	0.7996258529	0.4459360521
264	0.800262304	0.4456429838
265	0.8008986595	0.445344547
266	0.8020615613	0.4447904343
267	0.8012269348	0.4444597599
268	0.8022806365	0.4438778274
269	0.8031141767	0.4433583974
270	0.8033113243	0.4432731226
271	0.8043623139	0.4429382612
272	0.8046914312	0.4424506118
273	0.8040562148	0.4421792851
274	0.8043623139	0.4421116754
275	0.8048874758	0.4419172888
276	0.8058273431	0.4415861066
277	0.8051929602	0.4414400929
278	0.8043623139	0.4412690093
279	0.8043623139	0.4410893994
280	0.8049972	0.4409414761
281	0.8048874758	0.4407428614
282	0.8044951432	0.4404639428
283	0.8052167383	0.4400284805
284	0.8060715006	0.4395423722
285	0.8059615783	0.4391997637
286	0.806046955	0.4388651443
287	0.8070112764	0.4385215915
288	0.8080600881	0.4379295367
289	0.8082803491	0.4374941057
290	0.8098521953	0.4371701182
291	0.8101550561	0.4367292176
292	0.8113116183	0.4363197954
293	0.8108989873	0.4356254934
294	0.8118344146	0.4355310906
295	0.8108989873	0.4351442507
296	0.8119448962	0.4348095918
297	0.8138127545	0.4342007484
298	0.8134014815	0.4338164498
299	0.8137021422	0.4336024605
