iter	Passed	Remaining
0	14	4236
1	45	6753
2	73	7262
3	101	7504
4	134	7962
5	164	8062
6	197	8284
7	231	8439
8	263	8511
9	297	8639
10	329	8656
11	351	8442
12	384	8486
13	432	8838
14	466	8868
15	498	8852
16	531	8853
17	562	8809
18	577	8534
19	607	8507
20	637	8471
21	663	8388
22	690	8314
23	705	8108
24	734	8084
25	765	8070
26	797	8059
27	829	8061
28	863	8071
29	873	7859
30	908	7882
31	946	7930
32	979	7923
33	1007	7881
34	1038	7860
35	1071	7858
36	1104	7851
37	1136	7839
38	1170	7830
39	1194	7762
40	1206	7618
41	1224	7522
42	1257	7517
43	1288	7498
44	1322	7496
45	1358	7501
46	1386	7464
47	1428	7499
48	1457	7465
49	1470	7350
50	1494	7295
51	1525	7277
52	1555	7251
53	1572	7162
54	1606	7155
55	1621	7066
56	1655	7057
57	1689	7050
58	1723	7038
59	1765	7062
60	1797	7041
61	1828	7018
62	1860	7000
63	1896	6994
64	1962	7094
65	2001	7097
66	2038	7089
67	2074	7076
68	2113	7076
69	2148	7059
70	2183	7041
71	2217	7023
72	2251	7001
73	2288	6990
74	2315	6946
75	2327	6861
76	2361	6837
77	2382	6781
78	2424	6781
79	2461	6768
80	2492	6740
81	2526	6715
82	2561	6696
83	2597	6680
84	2630	6653
85	2661	6623
86	2675	6550
87	2707	6521
